Unnamed: 0,no ,group ,speaker ,original ,pron ,trans ,comment ,Unnamed: 8
,42 ,1 ,,Le train arrive d’où ? ,르 트렝 아리브 드 우 ? ,기차는 어디서 오나요? ,,
,43 ,1 ,,Il arrive de Marseille. ,일 아리브 드 마르세이 ,그는 마르세유에서 온다. ,,
,44 ,1 ,,Tu vas où ? ,튀 바 우 ? ,너는 어디로 가니? ,,
,45 ,1 ,,Où est-ce que tu vas ? ,우 에스 크 튀 바 ? ,너는 어디로 가니? ,,
,46 ,1 ,,Où vas-tu ? ,우 바 튀 ? ,너는 어디로 가니? ,,
,47 ,1 ,,Il va où ? ,일 바 우 ? ,그는 어디로 가니? ,,
,48 ,1 ,,Où est-ce qu’il va ? ,우 에스 크 일 바 ? ,그는 어디로 가니? ,,
,49 ,1 ,,Où va-t-il ? ,우 바 틸 ? ,그는 어디로 가니? ,,
,50 ,1 ,,Vous venez d’où ? ,부 브네 드 우 ? ,당신은 어디서 오셨나요? ,,
,51 ,1 ,,D’où est-ce que vous venez ? ,드 우 에스 크 부 브네 ? ,당신은 어디서 오셨나요? ,,
,52 ,1 ,,D’où venez-vous ? ,드 우 브네 부 ? ,당신은 어디서 오셨나요? ,,
,53 ,1 ,,"Camille, tu vas où ? ","카미유, 튀 바 우 ? ","카미유, 너 어디로 가니? ",,
,54 ,1 ,,Je vais au supermarché. ,쥬 베 오 슈페르마르쉐 ,나는 슈퍼마켓에 간다. ,,
,55 ,1 ,,Bonjour ! Où allez-vous ? ,봉쥬르 ! 우 알레 부 ? ,안녕하세요! 어디로 가시나요? ,,
,56 ,1 ,,Nous allons aux Champs-Élysées. ,누 잘롱 조 샹젤리제 ,우리는 샹젤리제 거리로 간다. ,,
,57 ,1 ,,Tu viens d’où ? ,튀 비앙 드 우 ? ,너는 어디서 왔니? ,,
,58 ,1 ,,Je viens du bureau. Je suis fatigué. ,쥬 비앙 뒤 뷔로. 쥬 스위 파티게 ,나는 사무실에서 왔다. 나는 피곤하다. ,,
,59 ,1 ,,D’où est-ce que vous venez ? ,드 우 에스 크 부 브네 ? ,당신은 어디서 오셨나요? ,,
,60 ,1 ,,Je viens des États-Unis. ,쥬 비앙 데 제타쥬니 ,나는 미국에서 왔다. ,,
,61 ,1 ,,Je suis américain. ,쥬 스위 아메리캥 ,나는 미국인이다. ,,
,62 ,1 ,,Tu viens avec moi ? ,튀 비앙 아벡 무아 ? ,너는 나와 함께 갈래? ,,
,63 ,1 ,,Tu viens chez moi ? ,튀 비앙 쉐 무아 ? ,너는 내 집에 올래? ,,
,64 ,1 ,,Bienvenue chez moi ! ,비앙뇌뉴 쉐 무아 ! ,내 집에 오신 것을 환영합니다! ,,
,65 ,1 ,,Elle habite chez ses parents. ,엘 아빗 쉐 세 파롱 ,그녀는 부모님 집에 산다. ,,
,66 ,1 ,,Nous allons chez le boulanger. ,누 잘롱 쉐 르 불랑제 ,우리는 빵집으로 간다. ,,
,67 ,1 ,,Nous allons à la boulangerie. ,누 잘롱 아 라 불랑제리 ,우리는 빵집으로 간다. ,,
,68 ,1 ,,Je vais chez le docteur. ,쥬 베 쉐 르 독퇴르 ,나는 의사에게 간다. ,,
,69 ,1 ,,Je vais à la clinique. ,쥬 베 아 라 클리닉 ,나는 병원에 간다. ,,
,70 ,1 ,,J’ai mal au dos. ,쥬 에 말 오 도 ,나는 등이 아프다. ,,
,71 ,1 ,,J’ai mal à la tête. ,쥬 에 말 아 라 테트 ,나는 머리가 아프다. ,,
,72 ,1 ,,J’ai mal à l’épaule. ,쥬 에 말 아 레폴 ,나는 어깨가 아프다. ,,
,73 ,1 ,,J’ai mal aux dents. ,쥬 에 말 조 당 ,나는 이가 아프다. ,,
,74 ,1 ,,Je vais au cinéma. Tu viens avec moi ? ,쥬 베 오 시네마. 튀 비앙 아벡 무아 ? ,나는 영화관에 간다. 너 나와 함께 갈래? ,,
,75 ,1 ,,"Non, je reste à la maison. ","농, 쥬 레스트 아 라 메종 ","아니, 나는 집에 있을 거야. ",,
,76 ,1 ,,Vous allez au bureau ? ,부 잘레 오 뷔로 ? ,당신은 사무실에 가시나요? ,,
,77 ,1 ,,"Non, je vais à la gare. ","농, 쥬 베 아 라 가르 ","아니요, 나는 역에 간다. ",,
,78 ,1 ,,Mes parents viennent à Séoul. ,메 파롱 비엔 아 서울 ,내 부모님은 서울에 온다. ,,
,79 ,1 ,,Tu viens chez moi ? ,튀 비앙 쉐 무아 ? ,너는 내 집에 올래? ,,
,80 ,1 ,,Je vais à la clinique. J’ai mal au dos. ,쥬 베 아 라 클리닉. 쥬 에 말 오 도 ,나는 병원에 간다. 나는 등이 아프다. ,,
